n,heapsort.ticks
150000,32585449
180000,39746230
210000,46975686
240000,54243733
270000,61582677
300000,69059746
330000,76598269
360000,84173485
390000,91792576
420000,99402328
450000,107050390
480000,114712034
510000,122393490
540000,130164504
570000,138030194
600000,145942211
630000,153861871
660000,161784071
690000,169752454
720000,177735131
750000,185704918
780000,193724088
810000,201705305
840000,209717493
870000,217797253
900000,225798312
930000,233859060
960000,241904992
990000,250002501
1020000,258071106
1050000,266142329
1080000,274350778
1110000,282657436
1140000,290896903
1170000,299185878
1200000,307452202
